kondisi,parameter,model,accuracy,auc,delta_auc
Clean,-,E-1,0.922880,0.989496,0.000000
Clean,-,E-2,0.955520,0.990069,0.000000
Clean,-,E-3,0.951360,0.989780,0.000000
JPEG,30,E-1,0.921600,0.979037,0.010459
JPEG,30,E-2,0.918400,0.977039,0.013030
JPEG,30,E-3,0.916160,0.979105,0.010674
JPEG,50,E-1,0.927360,0.986235,0.003261
JPEG,50,E-2,0.941120,0.986128,0.003941
JPEG,50,E-3,0.940480,0.987057,0.002723
JPEG,70,E-1,0.899200,0.984902,0.004594
JPEG,70,E-2,0.943040,0.985940,0.004129
JPEG,70,E-3,0.938240,0.984866,0.004913
Noise,10,E-1,0.544000,0.927549,0.061947
Noise,10,E-2,0.744000,0.924555,0.065513
Noise,10,E-3,0.773440,0.931169,0.058611
Noise,25,E-1,0.686080,0.617591,0.371905
Noise,25,E-2,0.682560,0.588330,0.401739
Noise,25,E-3,0.672000,0.601585,0.388195
Noise,50,E-1,0.593280,0.517825,0.471671
Noise,50,E-2,0.412800,0.495168,0.494901
Noise,50,E-3,0.408000,0.527528,0.462252
Blur,3,E-1,0.927360,0.989211,0.000285
Blur,3,E-2,0.952640,0.989635,0.000433
Blur,3,E-3,0.952320,0.989865,-0.000086
Blur,5,E-1,0.929920,0.988302,0.001194
Blur,5,E-2,0.951360,0.988048,0.002020
Blur,5,E-3,0.950400,0.988777,0.001003
Blur,7,E-1,0.922240,0.984972,0.004524
Blur,7,E-2,0.942400,0.983825,0.006244
Blur,7,E-3,0.942720,0.985871,0.003909
Downscale,0.5,E-1,0.931200,0.988455,0.001041
Downscale,0.5,E-2,0.952320,0.988275,0.001794
Downscale,0.5,E-3,0.949120,0.988934,0.000846
Downscale,0.25,E-1,0.932160,0.985024,0.004472
Downscale,0.25,E-2,0.929280,0.982858,0.007211
Downscale,0.25,E-3,0.930880,0.984809,0.004970
Occlusion,0.3,E-1,0.749760,0.969462,0.020034
Occlusion,0.3,E-2,0.900800,0.974654,0.015415
Occlusion,0.3,E-3,0.867200,0.973004,0.016776
Occlusion,0.5,E-1,0.713280,0.931731,0.057765
Occlusion,0.5,E-2,0.855360,0.942709,0.047360
Occlusion,0.5,E-3,0.801600,0.945074,0.044705
Occlusion,0.7,E-1,0.663680,0.847124,0.142372
Occlusion,0.7,E-2,0.784320,0.852264,0.137805
Occlusion,0.7,E-3,0.687040,0.861637,0.128143
