kondisi,parameter,model,accuracy,auc,delta_auc
Clean,-,E-1,0.921920,0.977704,0.000000
Clean,-,E-2,0.922560,0.977684,0.000000
Clean,-,E-3,0.926720,0.977967,0.000000
JPEG,30,E-1,0.910400,0.973140,0.004564
JPEG,30,E-2,0.916480,0.972991,0.004694
JPEG,30,E-3,0.914560,0.973049,0.004917
JPEG,50,E-1,0.915840,0.975832,0.001871
JPEG,50,E-2,0.920320,0.976205,0.001479
JPEG,50,E-3,0.919680,0.976395,0.001571
JPEG,70,E-1,0.914560,0.974639,0.003064
JPEG,70,E-2,0.916480,0.974763,0.002921
JPEG,70,E-3,0.921600,0.975005,0.002961
Noise,10,E-1,0.896960,0.963066,0.014637
Noise,10,E-2,0.894080,0.961894,0.015790
Noise,10,E-3,0.894080,0.962049,0.015918
Noise,25,E-1,0.857600,0.935689,0.042014
Noise,25,E-2,0.856640,0.935199,0.042486
Noise,25,E-3,0.863680,0.939828,0.038139
Noise,50,E-1,0.688000,0.666003,0.311701
Noise,50,E-2,0.722240,0.747918,0.229767
Noise,50,E-3,0.671680,0.699535,0.278432
Blur,3,E-1,0.921600,0.978215,-0.000512
Blur,3,E-2,0.922240,0.977709,-0.000024
Blur,3,E-3,0.923840,0.978066,-0.000099
Blur,5,E-1,0.921920,0.978019,-0.000316
Blur,5,E-2,0.920640,0.977394,0.000290
Blur,5,E-3,0.921920,0.977513,0.000454
Blur,7,E-1,0.921280,0.977159,0.000545
Blur,7,E-2,0.920000,0.976636,0.001048
Blur,7,E-3,0.923520,0.976380,0.001587
Downscale,0.5,E-1,0.923520,0.977928,-0.000225
Downscale,0.5,E-2,0.920960,0.977161,0.000523
Downscale,0.5,E-3,0.921600,0.977522,0.000444
Downscale,0.25,E-1,0.918720,0.975847,0.001856
Downscale,0.25,E-2,0.921280,0.975261,0.002423
Downscale,0.25,E-3,0.921920,0.975200,0.002767
Occlusion,0.3,E-1,0.908160,0.968141,0.009563
Occlusion,0.3,E-2,0.907200,0.969784,0.007900
Occlusion,0.3,E-3,0.904960,0.966941,0.011025
Occlusion,0.5,E-1,0.885120,0.957042,0.020661
Occlusion,0.5,E-2,0.882880,0.957037,0.020647
Occlusion,0.5,E-3,0.871040,0.952477,0.025490
Occlusion,0.7,E-1,0.864000,0.940645,0.037058
Occlusion,0.7,E-2,0.860160,0.938397,0.039288
Occlusion,0.7,E-3,0.852800,0.936997,0.040969
